Experiment,Feature Selection,Feature Selection,Feature Selection,Feature Selection,Feature Selection,Feature Selection
Dataset Name,AFE dataset,AFE dataset,AFE dataset,EMBER dataset,EMBER dataset,EMBER dataset
GBDT,catbooster,lightgbm,xgboost,catbooster,lightgbm,xgboost
peak memory usage in MB,2789.2265625,1946.59375,1981.0,2717.3046875,1812.55859375,1897.84375
final_metric.accuracy_score,0.815428,0.8309289999999999,0.834166,0.7504950000000001,0.789062,0.773809
final_metric.detection_rate_0.1000,100.0,24.258,25.019399999999997,100.0,29.3108,33.534800000000004
final_metric.detection_rate_1.0000,100.0,24.258,25.019399999999997,100.0,29.3108,33.534800000000004
final_metric.f1_score,0.8136509301281517,0.8294013564257033,0.8323168196617476,0.7407104182349001,0.7819716791056466,0.7654092417672118
final_metric.fit_time,64.2,51.0,455.2,60.2,36.0,445.6
final_metric.fit_time_raw,328.2,219.0,3071.2,300.2,192.0,3001.8
final_metric.fnr_0.1000,100.0,24.258,25.019399999999997,100.0,29.3108,33.534800000000004
final_metric.fnr_1.0000,100.0,24.258,25.019399999999997,100.0,29.3108,33.534800000000004
final_metric.fpr_0.1000,0.0,0.0,0.0,0.0,0.0,0.0
final_metric.fpr_1.0000,0.0,0.0,0.0,0.0,0.0,0.0
final_metric.log_loss,0.3932908672846239,0.37768210889108217,0.402006215847603,0.48259397948088145,0.4848311707543146,0.5106159857981103
final_metric.precision_score,0.8260123630741882,0.8414401754510429,0.8466503824747832,0.7748515826107735,0.8065904731004349,0.792978721651129
final_metric.recall_score,0.815428,0.8309289999999999,0.834166,0.7504950000000001,0.789062,0.773809
final_metric.roc_auc_score,0.6753657560543884,0.6826965925946905,0.6848522938841197,0.6560973416830256,0.6622397055616859,0.6664054803935132
final_metric.roc_auc_score_0.1000,0.5014990957796728,0.5018549412280893,0.5021147807627193,0.5009442588015964,0.5011403327414153,0.5011404371277954
final_metric.roc_auc_score_1.0000,0.5150587560983203,0.5186333040952288,0.521243450978271,0.509485293187896,0.5114549002517037,0.5114559488364983
final_metric.score,0.767267368999709,0.7809703552529182,0.7828475665558245,0.7096760804130422,0.7331804689525228,0.7262690207139095
final_metric.threshold_0.1000,0.001,0.001,0.001,0.001,0.001,0.001
final_metric.threshold_1.0000,0.01,0.01,0.01,0.01,0.01,0.01
fit time in seconds,64.2,51.0,455.2,60.2,36.0,445.6
